username,text
BernieSanders,I'm running for president because we need to have the best educated workforce in the world. That is why we need to make public colleges and universities tuition free and lower student debt.
BernieSanders,"CA, MT, NJ, NM, SD and ND: are you ready to vote tomorrow? Find your voting location: https://vote.berniesanders.com/"
realDonaldTrump,"Cryin’ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is no DACA. We must have safety and security, together with a strong Military, for our great people!"
BernieSanders,There it is. The Trump administration just made it clear: they have no intention to protect the 130 million Americans with pre-existing conditions. They want to throw millions of Americans off health insurance and put lives at risk. We will fight back.
BernieSanders,We need a Green New Deal.
realDonaldTrump,"Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russia,Russia. Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN!"
realDonaldTrump,WOW!
BernieSanders,We cannot forget about the aspiring Americans who continue to live in the shadows. http://bernie.to/Immigration
BernieSanders,Help us keep winning! Chip in at http://live.berniesanders.com now.
realDonaldTrump,"Charles Koch of Koch Brothers, who claims to be giving away millions of dollars to politicians even though I know very few who have seen this (?), now makes the ridiculous statement that what President Trump is doing is unfair to “foreign workers.” He is correct, AMERICA FIRST!"
BernieSanders,"Health care is a right, not a privilege. That's why my plan will insure every American. http://bernie.to/MedicareForAll"
BernieSanders,"I just heard — we’re short of our fundraising goal for tonight’s deadline. Let’s send the billionaire class a powerful message. Chip in before midnight tonight, then phone a friend and ask them to do the same. https://secure.actblue.com/donate/bernie-social-eoq1-deadline?refcode=tw190331-phone"
realDonaldTrump,Just returned from Asia after 12 very successful days. Great to be home!
BernieSanders,This is what a paid @BernieSanders speech looks like: https://youtu.be/AXGM3MBT4B8 Don't worry. The $500 payout was given to charity.
BernieSanders," Important message for Nevada voters: If you vote early, you MUST select three options on your ballot, or your vote will not be counted. If you don't have a second or third choice candidate, select """"""""Uncommitted"""""""" as your second and third choices. See a sample ballot here:"
BernieSanders,Two candidates need your help to continue the political revolution: @PramilaJayapal and @Tim_Canova. Make calls: https://go.berniesanders.com/page/s/call-for-the-political-revolution?source=tw160708
realDonaldTrump,"A sad day for the Democrats, Kirsten Gillibrand has dropped out of the Presidential Primary. I’m glad they never found out that she was the one I was really afraid of!"
BernieSanders,"Now, @realDonaldTrump and others want us to hate all Muslims."
BernieSanders,Let’s call Trump's travel ban what it is: A racist and anti-Islamic attempt to divide us up.
realDonaldTrump,"Today, it was my great honor to meet with the Crown Prince of Bahrain at the @WhiteHouse. Bahrain and the United States are important partners. During the Crown Prince’s visit, he is advancing $9 BILLION in commercial deals, including finalizing the purchase of F-16’s..."
realDonaldTrump,"Statement from White House Chief of Staff, General John Kelly:"
BernieSanders,"For Vermont State House, I am proud to have endorsed Susan Hatch Davis in Orange-1, Dennis LaBounty in Caledonia-4, Cindy Weed in Franklin-7, Mari Cordes in Addison-4, Robin Chestnut-Tangerman in Rutland-Bennington, and Martha Allen in Essex-Caledonia-Orleans-1."
realDonaldTrump,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day”"
realDonaldTrump,""
BernieSanders,"New Zealand took less than a week to ban military-style weapons after the Christchurch mosque attacks. It has been 405 days since Parkland. It has been 2,293 days since Sandy Hook. It is past time that we take on the NRA and pass gun safety legislation."
BernieSanders,"Colorado, thank you. Let's go win this and make @PolisForCO the next Governor of Colorado!"
realDonaldTrump,"Join me live from Bedminster, New Jersey:"
BernieSanders,The bottom line is ISIS must be destroyed with a regional coalition leading the effort on the ground. Must read: http://bernie.to/FightingISIS
realDonaldTrump,Congratulations to President Xi and the Chinese people on the 70th Anniversary of the People’s Republic of China!
realDonaldTrump,"Rick Scott was up by 50,000+ votes on Election Day, now they “found” many votes and he is only up 15,000 votes. “The Broward Effect.” How come they never find Republican votes?"
BernieSanders,"When we said four years ago that we needed to legalize marijuana, it was considered a """"""""radical"""""""" idea. Today, 11 states plus DC have legalized it. Not so radical anymore. When we're in the White House we will do so nationwide."
realDonaldTrump,“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” http://45.wh.gov/GDvY2G https://instagram.com/p/BbWf8J6AlS9/
realDonaldTrump,S&P 500 HITS ALL-TIME HIGH Congratulations USA!
realDonaldTrump,"Heading to Helsinki, Finland – looking forward to meeting with President Putin tomorrow. Unfortunately, no matter how well I do at the Summit, if I was given the great city of Moscow as retribution for all of the sins and evils committed by Russia..."
BernieSanders,"Despair is not an option. Stand up, get involved, organize. That is the only way we defeat Trump."
BernieSanders,GOTV for our campaign in Nevada is under way. I need your help. Sign up for a shift: http://berniesanders.com/NV
BernieSanders,"I hope you show up to the polls today and make your voice heard. We know that when we #VoteTogether, anything is possible. #SuperTuesday"
BernieSanders,If you are 18 or older you should be automatically registered to vote.
BernieSanders,My experience fighting segregation in Chicago in the 1960s significantly shaped my life.
realDonaldTrump,THANK YOU @USCG! GREAT JOB!!
realDonaldTrump,"Received so many Congratulations from so many on our Big Victory last night, including from foreign nations (friends) that were waiting me out, and hoping, on Trade Deals. Now we can all get back to work and get things done!"
realDonaldTrump,"Thank you to everyone at @FEMA HQ for today’s briefing on preparations for the upcoming hurricane season. Disaster response and recovery is best achieved when it’s federally supported, state managed, and locally executed – this is the successful model we will continue to build."
realDonaldTrump,"Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!"
realDonaldTrump,"I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election, 2020, to see if they could get lucky & have a Democrat win - in which case they would continue to rip-off the USA for $500 Billion a year...."
realDonaldTrump,"Nobody knows for sure that the Republicans & Democrats will be able to reach a deal on DACA by February 8, but everyone will be trying....with a big additional focus put on Military Strength and Border Security. The Dems have just learned that a Shutdown is not the answer!"
realDonaldTrump,"For the record, Denmark is only at 1.35% of GDP for NATO spending. They are a wealthy country and should be at 2%. We protect Europe and yet, only 8 of the 28 NATO countries are at the 2% mark. The United States is at a much, much higher level than that...."
realDonaldTrump,They don’t know how to do that!
BernieSanders,Our opponents are funding their campaigns with checks from billionaires and Wall Street. Not us. Join our movement: http://bernie.to/JoinOurMovement
realDonaldTrump,"A big week, especially with our numerous victories in the Supreme Court. Heading back to the White House now. Focus will be on the selection of a new Supreme Court Justice. Exciting times for our country. Economy may be stronger than it has ever been!"
realDonaldTrump,"There must be JUSTICE. This can never happen to a President, or our Country, again!"
BernieSanders,"Our reliance on fossil fuels isn't only disastrous for the environment, but disastrous for our financial well-being."
realDonaldTrump,Uganda must find the kidnappers of the American Tourist and guide before people will feel safe in going there. Bring them to justice openly and quickly!
realDonaldTrump,"Iran is in serious financial trouble. They want desperately to talk to the U.S., but are given mixed signals from all of those purporting to represent us, including President Macron of France...."
BernieSanders,"We need to have the guts to address the issues of Little Haiti, Liberty City, and struggling communities all over this country."
BernieSanders,"Public college and university education in America must be tuition-free. We could do it 50 years ago, why the hell can't we do it today?"
BernieSanders,"We’re still a little short of our end-of-quarter fundraising goals. But if we make it, it will send an unmistakable message to the media and our opponents about the strength of our campaign. Push us over the finish line with your contribution by midnight: https://secure.actblue.com/donate/bernie-september-eoq?refcode=tw190930-2"
