doc_id,screen_name,party,message
1,EdJMarkey,Democrat,"If President Trump backs out of the Paris Agreement it will be an economic, environmental, national security & moral disaster for the United States. Watch my conversation with Jake Tapper on CNN ↓"
2,RepDrewFerguson,Republican,Many thanks to my first class of summer interns in Washington. They've been hard at work for the folks of #GA03.
3,RepJoshG,Democrat,"Our economy needs a shot in the arm to spur growth.  As Co-Chair of the bipartisan Problem Solvers Caucus, I’ve been working around-the-clock with both parties since I was sworn in to make living in our District more affordable.  By seeking the facts and stepping up to solve tax reform and infrastructure in a non-partisan and fiscally responsible way, we can grow our businesses, create more jobs, and lower our taxes."
4,RepWesterman,Republican,"Last week was busy as I met with constituents from across Arkansas. If you are going to be in Washington and would like to arrange a meeting or a tour of the Capitol, please reach out to my office at (202) 225-3772."
5,lloyddoggett,Democrat,"Even as families nationwide marveled at the science of the solar eclipse——President Trump again rejected scientific counsel for his own pro-pollution agenda. His Administration disbanded a group of academics, local officials, and corporate officers that was working to help policymakers and companies plan for the impact climate change. Rather than allow these experts to bring their findings to light, Trump would keep us in the dark."
6,RepDelBene,Democrat,"The strength of our local economy depends on a well-maintained, modern infrastructure. I’m pleased U.S. Senate Democrats introduced an #infrastructure plan that includes many smart investments, including $20 billion to help improve access to #broadband for the unserved and underserved populations across America. In the House, I'm fighting to ensure everyone has access to opportunity in the 21st century economy."
7,congressmanrodblum,Republican,Also ran into my good friend & colleague Congressman Dave Loebsack. Supporting Iowa Ethanol is Bi-Partisan & good for jobs & Iowa's economy   #IA01
8,RepRonEstes,Republican,Do you think Obamacare should be repealed? Let us know here: https://estes.house.gov/forms/form/?ID=1
9,BlaineLuetkemeyer,Republican,Happening now: British Prime Minister Theresa May is addressing the House and Senate at the retreat.
10,drnealdunnfl2,Republican,Our current tax code is long and confusing. House Republicans are working to fix that. Learn more here --> https://fairandsimple.gop/?utm_source=DrNealDunnFL2 #fairandsimple
11,ScottDesJarlaisTN04,Republican,"New VA Secretary David Shulkin pledged yesterday to get rid of VA employees who deserve to be fired for legitimate issues. There is no excuse for substandard care for our nation’s veterans. Unacceptable wait times, a lack of specialty care providers, and poor treatment of veterans seeking care is shameful and will not be tolerated."
12,RepMikeGallagher,Republican,"Proud to lead my Wisconsin colleagues in a letter to CMS Administrator Seema Verma on behalf of the more than 370,000 veterans in our state. They deserve to have their questions answered about the quality of care being provided to veterans at King."
